"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","demos","rt","response","question_order"
"true","false","[]","[]","[]","preload","0","17","0.0-0.0","[[1,2,3,4,5],[1,2,7,6,3,4,5,8]]","","",""
"","","","","","survey-multi-choice","1","3298","0.0-1.0","[[1,2,3,4,5],[1,2,7,6,3,4,5,8]]","3280","{""Q0"":""5-item"",""Q1"":""least"",""Q2"":""8-item"",""Q3"":""somehow""}","[0,1,2,3]"
